Artist;Title
Celine Dion;The Power Of Love
Ace Of Base;The Sign
R. Kelly;Bump N' Grind
All-4-One;I Swear
Lisa Loeb & Nine Stories;"Stay (I Missed You) (From ""Reality Bites"")"
Boyz II Men;I'll Make Love To You
Boyz II Men;On Bended Knee
Ini Kamoze;"Here Comes The Hotstepper (From ""Ready To Wear"")"
TLC;Creep
Madonna;Take A Bow
Montell Jordan;This Is How We Do It
Bryan Adams;Have You Ever Really Loved A Woman?
TLC;Waterfalls
Seal;"Kiss From A Rose (From ""Batman Forever"")"
Michael Jackson;You Are Not Alone
Coolio Featuring L.V.;"Gangsta's Paradise (From ""Dangerous Minds"")"
Mariah Carey;Fantasy
Whitney Houston;"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")"
Mariah Carey & Boyz II Men;One Sweet Day
Celine Dion;"Because You Loved Me (From ""Up Close & Personal"")"
Mariah Carey;Always Be My Baby
Bone Thugs-N-Harmony;Tha Crossroads
2Pac Featuring K-Ci And JoJo;How Do U Want It/California Love
Toni Braxton;You're Makin' Me High/Let It Flow
Los Del Rio;Macarena (Bayside Boys Mix)
BLACKstreet (feat. Dr. Dre);No Diggity
Toni Braxton;Un-Break My Heart
Spice Girls;Wannabe
Puff Daddy (feat. Mase);Can't Nobody Hold Me Down
The Notorious B.I.G.;Hypnotize
Hanson;MMMBop
Puff Daddy & Faith Evans feat. 112;I'll Be Missing You
The Notorious B.I.G. feat. Puff Daddy & Mase;Mo Money Mo Problems
Mariah Carey;Honey
Boyz II Men;4 Seasons Of Loneliness
Elton John;Candle In The Wind 1997/Something About The Way You Look Tonight
Savage Garden;Truly Madly Deeply
Janet;Together Again
Usher;Nice & Slow
Celine Dion;My Heart Will Go On
Will Smith;Gettin' Jiggy Wit It
K-Ci & JoJo;All My Life
Next;Too Close
Mariah Carey;My All
Brandy & Monica;The Boy Is Mine
Aerosmith;I Don't Want To Miss A Thing
Monica;The First Night
Barenaked Ladies;One Week
Lauryn Hill;Doo Wop (That Thing)
Divine;Lately
R. Kelly & Celine Dion;I'm Your Angel
Brandy;Have You Ever?
Britney Spears;...Baby One More Time
Monica;Angel Of Mine
Cher;Believe
TLC;No Scrubs
Ricky Martin;Livin' La Vida Loca
Jennifer Lopez;If You Had My Love
Destiny's Child;"Bills, Bills, Bills"
Will Smith feat. Dru Hill & Kool Mo Dee;Wild Wild West
Christina Aguilera;Genie In A Bottle
Enrique Iglesias;Bailamos
TLC;Unpretty
Mariah Carey feat. Jay-Z;Heartbreaker
Santana feat. Rob Thomas;Smooth
Christina Aguilera;What A Girl Wants
Savage Garden;I Knew I Loved You
Mariah Carey feat. Joe & 98 Degrees;Thank God I Found You
Lonestar;Amazed
Destiny's Child;Say My Name
Santana feat. The Product G&B;Maria Maria
Aaliyah;Try Again
Enrique Iglesias;Be With You
Vertical Horizon;Everything You Want
matchbox twenty;Bent
'N Sync;It's Gonna Be Me
Sisqo;Incomplete
Janet;Doesn't Really Matter
Madonna;Music
Christina Aguilera;Come On Over Baby (All I Want Is You)
Creed;With Arms Wide Open
Destiny's Child;Independent Women Part I
"Shaggy feat. Ricardo ""RikRok"" Ducent";It Wasn't Me
OutKast;Ms. Jackson
Joe feat. Mystikal;Stutter
Crazy Town;Butterfly
Shaggy feat. Rayvon;Angel
Janet;All For You
"Christina Aguilera, Lil' Kim, Mya & Pink";Lady Marmalade
Usher;U Remind Me
Destiny's Child;Bootylicious
Alicia Keys;Fallin'
Jennifer Lopez feat. Ja Rule;I'm Real
Mary J. Blige;Family Affair
Usher;U Got It Bad
Nickelback;How You Remind Me
Ja Rule feat. Ashanti;Always On Time
Jennifer Lopez feat. Ja Rule;Ain't It Funny
Ashanti;Foolish
Nelly;Hot In Herre
Nelly feat. Kelly Rowland;Dilemma
Kelly Clarkson;A Moment Like This
Eminem;Lose Yourself
B2K & P. Diddy;"Bump, Bump, Bump"
Jennifer Lopez feat. LL Cool J;All I Have
50 Cent;In Da Club
Sean Paul;Get Busy
50 Cent feat. Nate Dogg;21 Questions
Clay Aiken;This Is The Night
Beyonce feat. Jay-Z;Crazy In Love
"Nelly, P. Diddy & Murphy Lee";Shake Ya Tailfeather
Beyonce feat. Sean Paul;Baby Boy
Ludacris feat. Shawnna;Stand Up
OutKast;Hey Ya!
OutKast feat. Sleepy Brown;The Way You Move
Twista feat. Kanye West & Jamie Foxx;Slow Jamz
Usher feat. Lil Jon & Ludacris;Yeah!
Usher;Burn
Fantasia;I Believe
Usher;Confessions Part II
Juvenile feat. Soulja Slim;Slow Motion
Terror Squad;Lean Back
Ciara feat. Petey Pablo;Goodies
Usher And Alicia Keys;My Boo
Snoop Dogg feat. Pharrell;Drop It Like It's Hot
Mario;Let Me Love You
50 Cent feat. Olivia;Candy Shop
Gwen Stefani;Hollaback Girl
Mariah Carey;We Belong Together
Carrie Underwood;Inside Your Heaven
Kanye West feat. Jamie Foxx;Gold Digger
Chris Brown;Run It!
Mariah Carey;Don't Forget About Us
D4L;Laffy Taffy
"Nelly feat. Paul Wall, Ali & Gipp";Grillz
Beyonce feat. Slim Thug;Check On It
James Blunt;You're Beautiful
Ne-Yo;So Sick
Sean Paul;Temperature
Daniel Powter;Bad Day
Rihanna;SOS
Chamillionaire feat. Krayzie Bone;Ridin'
Shakira feat. Wyclef Jean;Hips Don't Lie
Taylor Hicks;Do I Make You Proud
Nelly Furtado feat. Timbaland;Promiscuous
Fergie;London Bridge
Justin Timberlake;SexyBack
Ludacris feat. Pharrell;Money Maker
Justin Timberlake feat. T.I.;My Love
Akon feat. Snoop Dogg;I Wanna Love You
Beyonce;Irreplaceable
Nelly Furtado;Say It Right
Justin Timberlake;What Goes Around...Comes Around
Mims;This Is Why I'm Hot
Fergie feat. Ludacris;Glamorous
Akon;Don't Matter
Timbaland feat. Nelly Furtado & Justin Timberlake;Give It To Me
Avril Lavigne;Girlfriend
Maroon 5;Makes Me Wonder
T-Pain feat. Yung Joc;Buy U A Drank (Shawty Snappin')
Rihanna feat. Jay-Z;Umbrella
Plain White T's;Hey There Delilah
Sean Kingston;Beautiful Girls
Fergie;Big Girls Don't Cry
Soulja Boy Tell'em;Crank That (Soulja Boy)
Kanye West;Stronger
Chris Brown feat. T-Pain;Kiss Kiss
Alicia Keys;No One
Flo Rida feat. T-Pain;Low
Usher feat. Young Jeezy;Love In This Club
Leona Lewis;Bleeding Love
Mariah Carey;Touch My Body
Lil Wayne feat. Static Major;Lollipop
Rihanna;Take A Bow
Coldplay;Viva La Vida
Katy Perry;I Kissed A Girl
Rihanna;Disturbia
T.I.;Whatever You Like
P!nk;So What
T.I. feat. Rihanna;Live Your Life
Britney Spears;Womanizer
Beyonce;Single Ladies (Put A Ring On It)
Lady Gaga feat. Colby O'Donis;Just Dance
Kelly Clarkson;My Life Would Suck Without You
"Eminem, Dr. Dre & 50 Cent";Crack A Bottle
Flo Rida;Right Round
Lady Gaga;Poker Face
The Black Eyed Peas;Boom Boom Pow
The Black Eyed Peas;I Gotta Feeling
Jay Sean feat. Lil Wayne;Down
Britney Spears;3
Owl City;Fireflies
Jason Derulo;Whatcha Say
Jay-Z + Alicia Keys;Empire State Of Mind
Ke$ha;TiK ToK
The Black Eyed Peas;Imma Be
Taio Cruz feat. Ludacris;Break Your Heart
Rihanna;Rude Boy
B.o.B feat. Bruno Mars;Nothin' On You
Usher feat. will.i.am;OMG
Eminem;Not Afraid
Katy Perry feat. Snoop Dogg;California Gurls
Eminem feat. Rihanna;Love The Way You Lie
Katy Perry;Teenage Dream
Bruno Mars;Just The Way You Are
Far*East Movement feat. Cataracs & Dev;Like A G6
Ke$ha;We R Who We R
Rihanna feat. Drake;What's My Name?
Rihanna;Only Girl (In The World)
P!nk;Raise Your Glass
Katy Perry;Firework
Bruno Mars;Grenade
Britney Spears;Hold It Against Me
Wiz Khalifa;Black And Yellow
Lady Gaga;Born This Way
Katy Perry feat. Kanye West;E.T.
Rihanna feat. Britney Spears;S&M
Adele;Rolling In The Deep
"Pitbull feat. Ne-Yo, Afrojack & Nayer";Give Me Everything
LMFAO feat. Lauren Bennett & GoonRock;Party Rock Anthem
Katy Perry;Last Friday Night (T.G.I.F.)
Maroon 5 feat. Christina Aguilera;Moves Like Jagger
Adele;Someone Like You
Rihanna feat. Calvin Harris;We Found Love
LMFAO;Sexy And I Know It
Adele;Set Fire To The Rain
Kelly Clarkson;Stronger (What Doesn't Kill You)
Katy Perry;Part Of Me
fun. feat. Janelle Monae;We Are Young
Gotye feat. Kimbra;Somebody That I Used To Know
Carly Rae Jepsen;Call Me Maybe
Flo Rida;Whistle
Taylor Swift;We Are Never Ever Getting Back Together
Maroon 5;One More Night
Rihanna;Diamonds
Bruno Mars;Locked Out Of Heaven
